Long.,Lat.,Elev.,Name,Ppt_Yr_mm
-76.25,-10.68,4334,CERRO-DE-PASC,1052.04
-75.75,-9.9,1860,HUANUCO,378
-76.78,-9.55,3430,LLATA,702
-77.36,-10.06,3950,LAMPAS-BAJO,755.04
-75.53,-10.03,680,POZUZO,2424.96
-75.9,-11.48,3632,PACHACHACA,735.96
-77.43,-9.73,3561,TICAMPA,744.96
-76.21,-11.63,4193,CASAPALCA,741
-75.93,-11.55,3750,LA-OROYA,567
-75.13,-10.61,1050,SAN-MIGUEL-BO,3096.96
-75.3,-11.13,800,SAN-RAMON,2007.96
-77.83,-10.68,46,PARAMONGA,9.96
-76.38,-11.83,2379,MATUCANA,237.96
-75.95,-9.13,669,TINGO-MARIA,3203.04
-77.51,-9.5,3050,HUARAZ,579
-74.9,-10.3,301,PUERTO-BERMUD,3309
-77.6,-9.35,2760,ANTA-(HUARAZ),737.04
-78.05,-10.28,100,LAS-ZORRAS,6
-74.93,-9.86,250,PUERTO-VICTOR,1701.96
-75.46,-11.78,3322,JAUJA,714
